TEMPLATE ID,TEMPLATE NAME,TYPE,STATUS,TEMPLATE MESSAGE,CONSENT TYPE
'1507160406959648815',cash_expiry_3,Service-Implicit,Active,"Cash is Calling!
Hi! Your Netmeds Cash of INR {#var#} will expire in 3 days. 
Apply your NMS Cash to get upto 100% INSTANT DISCOUNT on top of all offers! 
https://www.netmeds.com/home",Implicit
'1507160406955036431',cash_expiry_1,Service-Implicit,Active,"Hurry! Cash is Expiring!
Your Netmeds Cash of INR {#var#} will expire today. 
Apply your NMS Cash to get upto 100% INSTANT DISCOUNT on top of all offers! 
https://www.netmeds.com/home",Implicit
'1507160406949061763',subscription_active,Service-Implicit,Active,"Hi! Your Netmeds Medicine Subscription is active now! Your first subscription order has been delivered and you will receive your next order with the same medicines after {#var#} days. Review/manage your subscription here: {#var#} 
Know more: https://youtu.be/B4_Jz9NQjVU 
Reach us at 7200712345 or cs@netmeds.com",Implicit
'1507160406943454497',subscription_cancelled,Service-Implicit,Active,Hi! We are sorry to see you go. Your Netmeds subscription has been cancelled. You can create a new subscription here{#var#}. Reach us at 7200712345 or cs@netmeds.com,Implicit
'1507160406939831863',subscription_skipped,Service-Implicit,Active,"Hi! You will not receive your Netmeds subscription for the month of {#var#} as it has been skipped. Review your subscription here: {#var#}.
Reach us at 7200712345 or cs@netmeds.com",Implicit
'1507160406936781689',subscription_rescheduled_one,Service-Implicit,Active,"Hi! Your Netmeds subscription order for {#var#} has been rescheduled and will now arrive on{#var#}. Review your order here{#var#}.
 Reach us at 7200712345 or cs@netmeds.com",Implicit
'1507160406748139403',subscription_rescheduled_all,Service-Implicit,Active,Hi! Your Netmeds subscription orders have been rescheduled. Review your orders here {#var#} Reach us at 7200712345 or cs@netmeds.com,Implicit
'1507160406742800302',subscription_modified_one,Service-Implicit,Active,"Hi! Your Netmeds subscription for {#var#} has been modified. Review your modified order here: {#var#}.
Reach us at 7200712345 or cs@netmeds.com""",Implicit
'1507160406738920490',subscription_modified_all,Service-Implicit,Active,"Hi! Your Netmeds subscription has been modified. Review your modified orders here{#var#}
Reach us at 7200712345 or cs@netmeds.com",Implicit
'1507160406735780055',processing_m1&issue,Service-Implicit,Active,"Consultation scheduled: Hi! A doctor from Netmeds will call you in the next 4-8 hours to confirm your medicines. 
NOTE: Due to the current COVID-19 situation, there could be a delay in our services. We thank you for your patience.
Reach us at 7200712345 or cs@netmeds.com 
https://www.netmeds.com/",Implicit
'1507160406731848347',consultation,Service-Implicit,Active,"Consultation scheduled: Hi! A doctor from Netmeds will call you in the next 4-8 hours to confirm your medicines. 
NOTE: Due to the current COVID-19 situation, there could be a delay in our services. We thank you for your patience.
Reach us at 7200712345 or cs@netmeds.com 
https://www.netmeds.com/",Implicit
'1507160406728220731',payment_link_m3_1,Service-Implicit,Active,Hi! Your Netmeds medicine subscription for {#var#} will be missed soon. Hurry up! Follow this link to manage/pay: {#var#} Kindly ignore if confirmed already (Paid or Cash on Delivery). Reach us at 7200712345 or cs@netmeds.com,Implicit
'1507160406724301318',payment_link_m3_15,Service-Implicit,Active,Hi! Your Netmeds medicine subscription for {#var#} is waiting to be processed. Follow this link to manage/pay: {#var#} Kindly ignore if confirmed already (Paid or Cash on Delivery). Reach us at 7200712345 or cs@netmeds.com,Implicit
'1507160406711896641',payment_link_m3_3,Service-Implicit,Active,Hi! Your Netmeds medicine subscription {#var#} is waiting to be processed! Follow this link to manage/pay{#var#} Kindly ignore if confirmed already (Paid or Cash on Delivery). Reach us at 7200712345 or cs@netmeds.com,Implicit
'1507160406708624692',payment_link_m3_8,Service-Implicit,Active,Hi! Your Netmeds medicine subscription for {#var#} is waiting to be processed! Follow this link to manage/pay: {#var#} Kindly ignore if confirmed already (Paid or Cash on Delivery). Reach us at 7200712345 or cs@netmeds.com,Implicit
'1507160406704261160',payment failed,Service-Implicit,Active,"We are sorry, your payment for Netmeds order {#var#} has failed. Any amount debited will be refunded within 7 working days. Follow this link to pay again or process the order as Cash on Delivery: https://m.netmeds.com/customer/orderhistory/view/{#var#}
Reach us at 7200712345 or cs@netmeds.com",Implicit
'1507160406700982928',delayed_delivery,Service-Implicit,Active,We're sorry! There's a delay in delivering your Netmeds order {#var#}. We are working with our delivery partner to resolve this! Track: {#var#}. Reach us at 7200712345 or cs@netmeds.com,Implicit
'1507160406696763979',failed_delivery,Service-Implicit,Active,"Delivery Attempted: Hi, we couldn't reach you today to deliver your{#var#}. To update your delivery preference, click {#var#}. Reach us at 7200712345 or cs@netmeds.com",Implicit
'1507160406692616908',out_for_delivery,Service-Implicit,Active,"Hi, your Netmeds order {#var#} is out for delivery. To track your order, follow the link: {#var#}. Reach us at 7200712345 or cs@netmeds.com",Implicit
'1507160406689299270',delivered,Service-Implicit,Active,"Hi! Your Netmeds order {#var#} has been delivered on {#var#}. Order more products that you will love here!
https://www.netmeds.com/home",Implicit
'1507160406683771781',partially_delivered,Service-Implicit,Active,Hi! A part of your Netmeds order {#var#} has been delivered today. Track your order here: https://m.netmeds.com/customer/orderhistory/track/{#var#}. Reach us at 7200712345 or cs@netmeds.com,Implicit
'1507160406679963482',partially_returned,Service-Implicit,Active,"Hi! Your Netmeds order {#var#} has been delivered on {#var#}. Order more products that you will love here!
https://www.netmeds.com/home",Implicit
'1507160406672143563',returned,Service-Implicit,Active,"Hi! Your return request for Netmeds order {#var#} has been accepted and will be processed shortly. Your refund will be initiated soon if you have paid already. Reach us at 7200712345 or cs@netmeds.com
https://www.netmeds.com/home",Implicit
'1507160406668355176',lost,Service-Implicit,Active,Hi! We are sorry that your Netmeds order {#var#} has been lost in transit. It will be re-shipped soon. Reach us at 7200712345 or cs@netmeds.com,Implicit
'1507160406665228961',partially_lost,Service-Implicit,Active,Hi! We're sorry that a part of your Netmeds order {#var#} has been lost in transit. It will be re-shipped soon. Reach us at 7200712345 or cs@netmeds.com,Implicit
'1507160406662121868',order_shipped,Service-Implicit,Active,"Hi! Your Netmeds order {#var#} has been shipped and will reach you soon! Track order: https://m.netmeds.com/customer/orderhistory/track/{#var#}.
Reach us at 7200712345 or cs@netmeds.com",Implicit
'1507160406658697441',order_shipped_split,Service-Implicit,Active,"Hi! Some item(s) from your Netmeds order {#var#} have been shipped and will reach you soon. Track order: https://m.netmeds.com/customer/orderhistory/track/{#var#}.
 Reach us at 7200712345 or cs@netmeds.com",Implicit
'1507160406654971390',cancelled_emergency_cod,Service-Implicit,Active,"Dear customer, we regret to inform you that all COD deliveries have been suspended so that we may conform to the governments social distancing norms. Therefore your current order has been cancelled.
If you have any way to pre-pay the order, we urge you to place a new order.
Reach us at 7200712345 or cs@netmeds.com",Implicit
'1507160406650726980',cancelled_emergency,Service-Implicit,Active,"Sorry! Your Netmeds order {#var#} could not be processed and has been cancelled amidst the COVID-19 situation. If you have already paid for it, a refund will be initiated shortly.
Reach us at 7200712345 or cs@netmeds.com",Implicit
'1507160406647417890',partially_cancelled,Service-Implicit,Active,"Hi! We're sorry that your Netmeds order {#var#} has been partially cancelled. If you have already paid for it, a partial refund will be initiated shortly. Check details: {#var#}. Reach us at 7200712345 or cs@netmeds.com",Implicit
'1507160406623398676',cancelled_paid_cod,Service-Implicit,Active,"Hi! Your Netmeds order {#var#} has been cancelled. If the order was paid for, a refund will be initiated shortly. Reach us at 7200712345 or cs@netmeds.com. You can re-order here
https://www.netmeds.com/home",Implicit
'1507160406619405491',customer_cancelled(not paid),Service-Implicit,Active,"Hi! Your Netmeds order {#var#} has been cancelled as per your request. 
Reach us at 7200712345 or cs@netmeds.com 
https://www.netmeds.com/home",Implicit
'1507160406609584587',cancelled_junk,Service-Implicit,Active,"Sorry! Your Netmeds order {#var#} could not be processed due to invalid prescription.
Reach us at 7200712345 or cs@netmeds.com 
https://www.netmeds.com/home",Implicit
'1507160406605573927',cancelled_auto,Service-Implicit,Active,"Hi! Your Netmeds order {#var#} has been cancelled as you have not taken any action. 
Reach us at 7200712345 or cs@netmeds.com 
https://www.netmeds.com/home",Implicit
'1507160406601225996',cancelled_bo,Service-Implicit,Active,"Sorry! Your Netmeds order {#var#} could not be processed and has been cancelled. If you have already paid for it, refund will be initiated shortly.
Reach us at 7200712345 or cs@netmeds.com 
https://www.netmeds.com/home",Implicit
'1507160406596900032',cancel_appeal,Service-Implicit,Active,"Hi! As promised, we have credited your Netmeds Wallet with INR {#var#} as NMS SuperCash. We hope to serve you soon!",Implicit
'1507160406587901764',supercash_comp,Service-Implicit,Active,"We are sorry for the mishap! We have credited your Netmeds Wallet with {#var#} as NMS SuperCash. Shop now to get fab deals on products that you love!
https://m.netmeds.com/home",Implicit
'1507160406578809079',supercash_credit,Service-Implicit,Active,"Hi! NMS SuperCash worth INR {#var#} has been credited to your Netmeds Wallet! Shop now to get fab deals on products that you love!
https://m.netmeds.com/home",Implicit
'1507160406345929411',cash_marketing,Service-Implicit,Active,"Hi! You have earned Rs. {#var#} NMS Cash* from the recent order during the Surprise Sale. 
*Expires on {#var#}. Shop Now! 
https://www.netmeds.com/home",Implicit
'1507160406337528537',cash_refer,Service-Implicit,Active,"Hi! Thanks for referring us! We have credited INR 150 NMS SuperCash to your Netmeds Wallet. Shop within 45 days to use it! 
https://www.netmeds.com/home",Implicit
'1507160406320964634',cash_delay,Service-Implicit,Active,"Hi! We are sorry that we couldn't deliver your product(s) on time. We thank you for your patience. INR {#var#} NMS Cash has been credited to your Netmeds Wallet as a gesture of appreciation. Shop Now!
https://www.netmeds.com/home",Implicit
'1507160406312902026',cash_comp,Service-Implicit,Active,"We are sorry for the mishap! We have credited your Netmeds Wallet with INR {#var#} as NMS Cash. You can use this to purchase any product on Netmeds. Shop now!
https://www.netmeds.com/home",Implicit
'1507160406302707010',cash_inv,Service-Implicit,Active,Hi! The invoice difference of INR {#var#} for your Netmeds order {#var#} has been credited to your wallet as NMS Cash. Shop now to get fab deals on products that you love! https://www.netmeds.com/home,Implicit
'1507160406290797697',cash_pp,Service-Implicit,Active,"Hi! As per your request, we have processed INR {#var#} as NMS Cash. Shop now to get fab deals on products that you love!
https://www.netmeds.com/home",Implicit
'1507160406285100138',cash_credit,Service-Implicit,Active,"Hi! NMS Cash worth INR {#var#} has been credited to your Netmeds Wallet! Shop now to get fab deals on products that you love!
https://www.netmeds.com/home",Implicit
'1507160405035957824',NMSUPER30nov,Service-Explicit,Active,Become a Netmeds savings superstar! Use code NMSSUPER30 to get flat 15% off + 25% NMS SuperCash on orders over Rs. 1250 TCA. Shop: {#var#},Explicit
'1507160405030356577',ATCNov1,Service-Explicit,Active,Checkout with your cart & get flat 15% off on meds + 25% NMS SuperCash. Use SAVENMS on orders above Rs. 1250 on Netmeds. TCA. {#var#},Explicit
'1507160379865488449',NMSTOCT28,Service-Explicit,Active,Order meds at Netmeds T20 Day to get flat 20% off on meds + 20% NMS SuperCash. Use NMST20. Min order: Rs. 750. TCA. {#var#},Explicit
'1507160379858488784',Oct28 offer,Service-Explicit,Active,Netmeds T20 Day: Use NMST20 for 20% off on meds + 20% NMS SuperCash + Cashback. MOV: Rs. 750. TCA. Shop @ http://nms-rx.com/OFF28OCT,Explicit
'1507160352471987302',Vittymax SMS1,Service-Explicit,Active,"KEEP IT UP! Its time to reorder Vitty . Your daily tasty dose for immunity, overall health & wellness on Netmeds. http://nms-rx.com/BUYNOW",Explicit
'1507160345725999471',NavratriTestFest1,Service-Explicit,Active,#NavratriTestFest: Up to 80% off on all diagnostic tests starting @ Rs. 90 only on Netmeds. Book @ http://nms-rx.com/UPTO80,Explicit
'1507160345715366944',75NMScash3,Service-Explicit,Active,"Let's start over, shall we? We've added Rs. 75 NMS Cash to your Netmeds wallet. Avail NMS Cash before {#var#} on {#var#}. Shop: http://nms-rx.com/oct",Explicit
'1507160345708260447',75NMScash2,Service-Explicit,Active,"Let's start over, shall we? We've added Rs. 75 NMS Cash to your Netmeds wallet. Shop using your NMS Cash before {#var#}. Shop: http://nms-rx.com/oct",Explicit
'1507160345700840889',75NMScash1,Service-Explicit,Active,Just checkin' up on an old friend. We've credited Rs. 75 NMS Cash in your Netmeds wallet. You can only use it TODAY to buy meds at http://nms-rx.com/oct,Explicit
'1507160345681330791',PAINNMS1,Service-Explicit,Active,"No pain, more gain! Use code PAINNMS to save up to 35% on pain relief meds. Pain relief essentials @ up to 28% off on Netmeds. TCA. Shop: http://nms-rx.com/O25",Explicit
'1507160345677987837',BPNMS1,Service-Explicit,Active,Hey! Use code BPNMS and save up to 35% on hypotension & hypertension meds. Buy pressure monitors at up to 63% off on Netmeds. TCA. Shop: http://nms-rx.com/O24,Explicit
'1507160337759730750',Aarogyam B Oct,Service-Explicit,Active,B at your best! Aarogyam B full body checkup (56 tests) at Flat 75% off for Rs. 599 only on Netmeds. Book @ http://nms-rx.com/OFF75,Explicit
'1507160337754125322',NavratriTestFest,Service-Explicit,Active,#NavratriTestFest: Up to 80% off on all diagnostic tests starting @ Rs. 90 only only on Netmeds. Book @ http://nms-rx.com/UPTO80,Explicit
'1507160337749929977',ANENMS1,Service-Explicit,Active,"Have you found iron, man? Save up to 35% on Anemia meds + Up to 65% off on health foods on Netmeds. Code: ANENMS. TCA. Shop @ http://nms-rx.com/O23",Explicit
'1507160317763595637',9NMS,Service-Explicit,Active,Order meds at #NetmedsNavratri sale to get flat 20% off on meds + 20% NMS SuperCash. Use 9NMS. Min order: Rs. 750. TCA. {#var#},Explicit
'1507160317757273468',Ril Insurance updated,Service-Implicit,Active,"Dear Netmeds employee, as informed please update your insurance details before 20th October. Please update the same at https://tinyurl.com/NMSInsuranceRenewal",Implicit
'1507160317753166625',PAINNMS,Service-Explicit,Active,"No pain, more gain! Save up to 35% on pain relief meds + Up to 28% off on pain relief essentials on Netmeds. Code:PAINNMS TCA. Shop @ http://nms-rx.com/O25",Explicit
