circle,coupon,id,missedcalldate,msisdn,operator,vmn
Karnataka,64220257,,2021-03-15 11:26:21,3a53665d5707781d20ff74e9f17d6229,VODAFONE,9008866666
Haryana,,,2021-03-15 11:26:53,fcda956617fc6d0c0e769b7403d4b4c6,RELIANCE,9008866666
Delhi,,,2021-03-15 11:28:23,489976b07af5b65216fd49b5d33a450b,RELIANCE,7303658515
Gujarat,64220196,,2021-03-15 11:29:24,db0f5d69d38efb368a8eedab25abbdbe,AIRTEL,9008866666
916291,64220505,,2021-03-15 11:30:00,d00bfb4e0ea037f643aceba8f97a78a1,TATA,9008866666
Mumbai,64215386,,2021-03-15 11:31:14,ce5acbb87c6cff8afe07280852f2e7bc,VODAFONE,9008866666
Maharashtra,,,2021-03-15 11:31:41,7773c24dc84dd0da71341fb3577cdb6d,RELIANCE,7303658515
Mumbai,,,2021-03-15 11:31:44,ce5acbb87c6cff8afe07280852f2e7bc,VODAFONE,9008866666
Maharashtra,57584209,,2021-03-15 11:32:46,0239cdf8af4a2dd38741224e0f62773a,IDEA,7303658515
Maharashtra,,,2021-03-15 11:32:54,0239cdf8af4a2dd38741224e0f62773a,IDEA,7303658515
Delhi,57581585,,2021-03-15 11:33:21,f67892c597ecbfa70b6b8fd6303f7975,Airtel,7303658515
KOLKATA,64226944,,2021-03-15 11:34:36,d31b132254914d41011794e1ae35d60c,VODAFONE,9008866666
Gujarat,64226414,,2021-03-15 11:34:39,5812691036145fe4f09ac68cd5fb9746,VODAFONE,9008866666
KOLKATA,64210449,,2021-03-15 11:35:43,00e421f2fe3c9eaaa47d16061c52e189,RTL,9008866666
Maharashtra,57610644,,2021-03-15 11:36:16,f828078478aa4e0ff64d51909698c85b,TATA,7303658515
Mumbai,64222979,,2021-03-15 11:39:10,3b5838017b062ac6f0fabe6ad3088bfd,Idea,9008866666
Delhi,57529836,,2021-03-15 11:40:27,a16bdb26dc6ca50b0b2034ad8d450772,Reliance,7303658515
Mumbai,64229761,,2021-03-15 11:41:12,22bcbab87912f685b5f284976d674666,Airtel,9008866666
Delhi,57523460,,2021-03-15 11:41:21,18f9cce74475689f01a6cddb40861600,Reliance,7303658515
Delhi,57592834,,2021-03-15 11:42:10,4906a4fccdd98ac20d9ebd750951095c,AIRTEL,7303658515
916300,64216436,,2021-03-15 11:43:17,4a27e006dc8968e68381112195e6c6ed,TATA,9008866666
Karnataka,64216203,,2021-03-15 11:45:13,cfdbe3165e71fa39f1add101cedd27d8,AIRTEL,9008866666
MP,64228857,,2021-03-15 11:46:06,30d94dc14c43974855de1849e427e484,Idea,9008866666
Karnataka,64213886,,2021-03-15 11:47:26,18ec4f986538bc386e5bc23f53ef9aed,AIRTEL,9008866666
Karnataka,,,2021-03-15 11:47:59,18ec4f986538bc386e5bc23f53ef9aed,AIRTEL,9008866666
Mumbai,64214922,,2021-03-15 11:48:24,9e493176662b35468c11f4a9f8376516,LOOP,9008866666
Karnataka,,,2021-03-15 11:49:12,18ec4f986538bc386e5bc23f53ef9aed,AIRTEL,9008866666
Gujarat,,,2021-03-15 11:53:36,bec3d7edca35351f6192b9261d46c4e7,IDEA,9008866666
Delhi,57639634,,2021-03-15 11:56:46,79451e0278e9d7fe86b92a18f5d919ed,VODAFONE,7303658515
Maharashtra,,,2021-03-15 11:57:42,e94ed3acb03e6f1df876fc91a6027b81,IDEA,7303658515
Maharashtra,,,2021-03-15 11:57:54,e94ed3acb03e6f1df876fc91a6027b81,IDEA,7303658515
Mumbai,64219027,,2021-03-15 11:57:56,c62bccff5237ece1b7c93461c68cb65d,AIRTEL,9008866666
KOLKATA,64228679,,2021-03-15 11:58:55,041e35c760eef5a5255da61f820f7e80,Idea,9008866666
KOLKATA,64219908,,2021-03-15 11:59:44,5a65ef6fd7e24a0ea43aa40fd1e154d8,VODAFONE,9008866666
Gujarat,64214077,,2021-03-15 11:59:47,365800a15041b674ec7b1cc4705ec35f,VODAFONE,9008866666
Gujarat,64230620,,2021-03-15 12:00:19,bf37c7fd5d0b28751d43d235ca967d15,Idea,9008866666
Mumbai,64202042,,2021-03-15 12:01:31,443f07c9741f0032551daed178030c81,LOOP,9008866666
Orissa,57644690,,2021-03-15 12:02:53,543a00158d9e3817f829494e82ad49a5,Airtel,7303658515
Gujarat,64228933,,2021-03-15 12:04:53,b9e3f9e51f5e3d1ada7f1e931e26d67a,AIRTEL,9008866666
Maharashtra,,,2021-03-15 12:06:08,c95bcadb88d1c6cb08c8dea2a498dead,IDEA,7303658515
Gujarat,64225674,,2021-03-15 12:07:24,791fb70b0a21b63bfc93510b8dddf852,UNINOR,9008866666
Karnataka,64228091,,2021-03-15 12:07:35,298bdff96989139e18eb69025844b0e5,AIRTEL,9008866666
Gujarat,,,2021-03-15 12:07:36,791fb70b0a21b63bfc93510b8dddf852,UNINOR,9008866666
Mumbai,64232034,,2021-03-15 12:08:46,ce815470f60914e569be4274b27f51f8,MTNL,9008866666
Maharashtra,57641629,,2021-03-15 12:09:00,61b9f358e2136b6bade6e23d9ed19cbe,IDEA,7303658515
Mumbai,57597548,,2021-03-15 12:09:28,fa167374d6dab1f33864bef69bfd03b7,ETISALAT,7303658515
Karnataka,64221405,,2021-03-15 12:09:45,16e68eb2a6514952cab9ee7309b9c429,Reliance,9008866666
Delhi,,,2021-03-15 12:10:35,1e82227d3bb2809554d846f263c6d0d7,RELIANCE,7303658515
Mumbai,,,2021-03-15 12:15:48,fe757f9f70b4d4d761606947cde32c95,LOOP,9008866666
Mumbai,,,2021-03-15 12:16:02,fe757f9f70b4d4d761606947cde32c95,LOOP,9008866666
918617,64222174,,2021-03-15 12:18:52,d2930c7e95afbcc69973d5c52b30a02e,TATA,9008866666
UP-W,,,2021-03-15 12:23:01,08ea663123a85ed37a91a9475729ce3b,Reliance,9008866666
UP-W,,,2021-03-15 12:23:07,08ea663123a85ed37a91a9475729ce3b,Reliance,9008866666
Gujarat,64230968,,2021-03-15 12:24:21,3910617b76588ead45260cd797facf0f,AIRTEL,9008866666
AP,64230517,,2021-03-15 12:26:10,8538738cc48ca540ba4a586cd6b63a27,AIRTEL,9008866666
Delhi,,,2021-03-15 12:26:47,3addac001775b0658acfff9043e3e3d8,AIRTEL,9008866666
Mumbai,64224252,,2021-03-15 12:26:53,b74448baba2a813d688c49760ff20431,VODAFONE,9008866666
Delhi,,,2021-03-15 12:27:15,81dd1cf2b7663f35f045df4694776862,AIRTEL,7303658515
Mumbai,64226561,,2021-03-15 12:27:56,e09c735000054e357dbce6a944ec7d5f,LOOP,9008866666
AP,64229948,,2021-03-15 12:28:04,3cdbeb33820d593d5418c2326c6242e0,RTL,9008866666
Delhi,,,2021-03-15 12:29:55,b11e70a6abb6d583d2f1d480a8510f20,AIRTEL,9008866666
Mumbai,64232194,,2021-03-15 12:31:24,600b8a31093033b30c7bb43a045f7df5,RELIANCE,9008866666
WB,64232866,,2021-03-15 12:31:45,3086fac08de622a61a8baa94a1d6a3c9,Reliance,9008866666
Mumbai,64216363,,2021-03-15 12:31:58,05e178a76049aed917b736bf042b0a68,IDEA,9008866666
Gujarat,64232946,,2021-03-15 12:32:01,b20af14312f708c22843951d74a84eec,VODAFONE,9008866666
Mumbai,64231266,,2021-03-15 12:33:03,5b3111e03332a6e1ddf8958878f59019,LOOP,9008866666
916000,64229300,,2021-03-15 12:33:10,65291eaa22b0b62cafe1efdfeab50aa7,TATA,9008866666
Delhi,,,2021-03-15 12:33:30,77b4e46db9433105e7604deb64e2156c,VODAFONE,9008866666
Delhi,57626947,,2021-03-15 12:34:04,78506feff721dcae4853c16ea07f82ac,AIRCEL,7303658515
Karnataka,64231636,,2021-03-15 12:34:55,872a2eeaf1dc5bf23a64ecf4fc3b34f8,Reliance,9008866666
Gujarat,64208574,,2021-03-15 12:36:04,26520054f9540214fe41913f72da4408,AIRTEL,9008866666
Orissa,57633420,,2021-03-15 12:36:52,3d6f1638812bf8036f9bf6f575c81bc0,AIRTEL,7303658515
Mumbai,64228051,,2021-03-15 12:36:59,f1d8b774921ae1e0d28dc86b8ddeac27,Reliance,9008866666
Mumbai,64211380,,2021-03-15 12:38:03,54cf4ee2ea66bb08fcfa67555c09c3f4,Idea,9008866666
Gujarat,64223305,,2021-03-15 12:38:48,ac0e43078d0d3d5675c0c1191117f4c9,IDEA,9008866666
Orissa,57601773,,2021-03-15 12:38:58,1a07d9e261248d997f38c1aa016515c7,RTL,7303658515
Mumbai,64224691,,2021-03-15 12:39:08,522cfd7fd5ce89900be601b06c3a5f2e,AIRTEL,9008866666
UP-W,64232456,,2021-03-15 12:39:42,b7bbbc262f3d02d24817f904c9183fbe,Videocon,9008866666
Maharashtra,57614385,,2021-03-15 12:39:44,406e70deacf0b2c5185a2b570eab9979,Reliance,7303658515
Bihar,57639753,,2021-03-15 12:39:44,49d71213b7524b3ca986261097bccb09,Airtel,7303658515
917990,64233902,,2021-03-15 12:40:52,329dc469f88cd9f694e25f8e53bd90ea,TATA,9008866666
Gujarat,64226429,,2021-03-15 12:41:33,036ac8e2f98e18bde80ac707411456db,IDEA,9008866666
Orissa,57564141,,2021-03-15 12:41:37,ac3457386cba51be91127d04321a85b0,TATA,7303658515
KOLKATA,64232926,,2021-03-15 12:42:03,eefbc5abeadf9ebc1f365249389967cc,TATA,9008866666
UP-W,57652848,,2021-03-15 12:42:18,9ec2cc08bb2744be8b780e391484c0d3,UNINOR,7303658515
Mumbai,64232477,,2021-03-15 12:43:23,e445a2f074b86b0a07898b20a0cbb1c2,IDEA,9008866666
Gujarat,64236359,,2021-03-15 12:43:31,ae4454276d29d710282b91c25bc52a56,Reliance,9008866666
Punjab,64228238,,2021-03-15 12:43:43,6bcec1447fbe7f4822622c7f6fc0428a,RELIANCE,9008866666
Gujarat,,,2021-03-15 12:43:54,ae4454276d29d710282b91c25bc52a56,Reliance,9008866666
Delhi,64230871,,2021-03-15 12:44:13,db3e30313f6afc8996bfe5153274dbd2,AIRTEL,9008866666
Mumbai,64215149,,2021-03-15 12:44:23,ae80f6ebcec88d59149e5f7cf23d9ae4,VODAFONE,9008866666
Gujarat,64225614,,2021-03-15 12:44:26,72b20ef5af174324406cdd54c78ffcd4,IDEA,9008866666
Maharashtra,57483833,,2021-03-15 12:45:18,d78a5d5d49a0e29ceb9e31c1340d1870,IDEA,7303658515
Mumbai,64234495,,2021-03-15 12:47:16,080204b7a585b3dc75d04c7562922ebc,RELIANCE,9008866666
Maharashtra,64234271,,2021-03-15 12:48:04,a8db3f662dee4b45361df8ddd133e6a9,AIRTEL,9008866666
Maharashtra,,,2021-03-15 12:49:09,f0119eab9422bca5add940bab92446fe,RTL,9008866666
Mumbai,,,2021-03-15 12:49:19,8c7e9a8da53e864b70592682ea39a001,Idea,9008866666
Gujarat,64228992,,2021-03-15 12:51:38,d3677873f5a558ddc09b7b3be4b75099,RELIANCE,9008866666
WB,64237359,,2021-03-15 12:51:57,602280ade93faf7781dc6ae0f407531c,AIRTEL,9008866666
Delhi,64232536,,2021-03-15 12:52:24,8d92d72a6787dcbda74d92e0527f8956,Reliance,9008866666
Maharashtra,64227752,,2021-03-15 12:52:27,f1dcbf051e09a17c982639b8e0785b40,BSNL,9008866666
Maharashtra,,,2021-03-15 12:52:36,f1dcbf051e09a17c982639b8e0785b40,BSNL,9008866666
Mumbai,64233754,,2021-03-15 12:54:56,ae515a2a4a6042cc2cba80bf253a9ee4,IDEA,9008866666
Delhi,57651608,,2021-03-15 12:56:46,f71aed9258a329987e48ab299848e9e9,MTS,7303658515
Mumbai,64229720,,2021-03-15 12:58:36,75107678319a51edd428744f31899f69,RELIANCE,9008866666
Mumbai,64222114,,2021-03-15 12:59:16,63e78493416851d92aa7ad4ed71278c1,RELIANCE,9008866666
Mumbai,64230458,,2021-03-15 12:59:47,8992deae88965584ae84e2c2f83b6d20,LOOP,9008866666
Mumbai,,,2021-03-15 13:00:01,63e78493416851d92aa7ad4ed71278c1,RELIANCE,9008866666
Maharashtra,64233285,,2021-03-15 13:00:24,3808c3e2363287c7d57b9a8c620e41b5,RELIANCE,9008866666
Mumbai,,,2021-03-15 13:00:25,63e78493416851d92aa7ad4ed71278c1,RELIANCE,9008866666
Gujarat,,,2021-03-15 13:00:32,7375c32a1fa6c3fc996a52ef1dde823d,VODAFONE,9008866666
Mumbai,,,2021-03-15 13:00:33,8992deae88965584ae84e2c2f83b6d20,LOOP,9008866666
Gujarat,64236920,,2021-03-15 13:00:37,1cfce9f8b747ff48023d145159536800,VODAFONE,9008866666
Gujarat,,,2021-03-15 13:01:25,1cfce9f8b747ff48023d145159536800,VODAFONE,9008866666
Delhi,,,2021-03-15 13:01:30,e8734792dd06e92c25ff4cc4676212e3,Reliance,9008866666
Maharashtra,,,2021-03-15 13:01:54,3808c3e2363287c7d57b9a8c620e41b5,RELIANCE,9008866666
UP-W,64236375,,2021-03-15 13:04:08,9c56b016b069d337787a45b41cb94f8c,RELIANCE,9008866666
MP,,,2021-03-15 13:04:08,41c4bbaa31ccd1002a2a20589df3b070,Idea,9008866666
Haryana,64234535,,2021-03-15 13:04:17,2b18f711566ea7e9fd691298f6a3b406,RELIANCE,9008866666
GUJARAT,64237262,,2021-03-15 13:04:35,6c1c9f85f7b5e780a3f141d93c5ef47f,TATA,9008866666
Mumbai,57590717,,2021-03-15 13:08:45,dff6b6219bf9f8df4e64355141472f93,AIRTEL,7303658515
Mumbai,64234766,,2021-03-15 13:09:40,bbe97de7d858ebf83b8e6f127a85a316,RELIANCE,9008866666
Gujarat,64227088,,2021-03-15 13:10:27,4f73bfcd06bc9e6c797c0a233824f136,RELIANCE,9008866666
Gujarat,,,2021-03-15 13:10:40,4f73bfcd06bc9e6c797c0a233824f136,RELIANCE,9008866666
Delhi,57566859,,2021-03-15 13:11:16,e88444436a0b08c8cf2ae0a15ecb4ebb,RELIANCE,7303658515
Bihar,64230749,,2021-03-15 13:11:23,f37f7de99bda829ed6501f7be0700d50,AIRTEL,9008866666
Delhi,57563473,,2021-03-15 13:11:37,57acea7d4cb6489761150e5eb5ede225,IDEA,7303658515
Delhi,,,2021-03-15 13:12:11,e88444436a0b08c8cf2ae0a15ecb4ebb,RELIANCE,7303658515
916000,,,2021-03-15 13:12:18,65291eaa22b0b62cafe1efdfeab50aa7,TATA,9008866666
Gujarat,64234152,,2021-03-15 13:14:47,7280b5610e4eb171ca9b7232b0b6dcc9,RTL,9008866666
Delhi,64236844,,2021-03-15 13:15:08,edc48f8c43d5d425d435bce024a0052c,AIRTEL,9008866666
Delhi,64230175,,2021-03-15 13:15:18,e2ae5f82c76a39b68f6efe7b16e2bd47,VODAFONE,9008866666
Gujarat,64233803,,2021-03-15 13:16:04,7accdf7735db7f38b1170b1f6b504b3a,Reliance,9008866666
Orissa,57650989,,2021-03-15 13:16:35,8c896064a85942ce34b13a9e0239f9c3,TATA,7303658515
HP,64239218,,2021-03-15 13:16:52,fbc6755f5606a7d3eed1139e8a0656cd,RELIANCE,9008866666
Delhi,64231504,,2021-03-15 13:16:57,bedfd2e212cae214bcd3c05448ff3b1f,AIRTEL,9008866666
AP,64239466,,2021-03-15 13:17:09,24d81cb08053c6751ac85d4b4c146478,Reliance,9008866666
Maharashtra,64238453,,2021-03-15 13:17:41,3b9456e1f3174185bfaf7d4845d06785,Reliance,9008866666
DELHI,64235666,,2021-03-15 13:17:47,11df4357f9d555042e71fc1451979be6,VODAFONE,9008866666
DELHI,,,2021-03-15 13:18:25,11df4357f9d555042e71fc1451979be6,VODAFONE,9008866666
Delhi,64239896,,2021-03-15 13:19:54,1fc3e7e2c0c14e6f984e8713ea9eb98b,Reliance,9008866666
Orissa,57657984,,2021-03-15 13:20:11,6d1f29ecbbadbae8b27a546656b21868,Airtel,7303658515
Maharashtra,,,2021-03-15 13:20:12,a67435c25475bd5b0587135d233aacd5,Vodafone,7303658515
Orissa,57654834,,2021-03-15 13:20:12,fb704ce1526d178e35f220dae25922ef,Airtel,7303658515
Bihar,64234994,,2021-03-15 13:20:54,83b501554ee5754c49d131b4bca03743,RELIANCE,9008866666
Gujarat,,,2021-03-15 13:21:42,4956ecf4c6ee617403002b7257b122cc,VODAFONE,9008866666
Mumbai,,,2021-03-15 13:21:43,73fc6977db1f1d0d9080c40168e95396,VODAFONE,9008866666
Mumbai,57648064,,2021-03-15 13:21:54,73fc6977db1f1d0d9080c40168e95396,VODAFONE,7303658515
Gujarat,,,2021-03-15 13:22:00,4956ecf4c6ee617403002b7257b122cc,VODAFONE,9008866666
Delhi,,,2021-03-15 13:22:21,e67d7773a2bb01e38cd55ac272655a1b,Reliance,9008866666
Haryana,64228407,,2021-03-15 13:22:22,fc34fd72fdc02553f051b3ef9e95d40f,RELIANCE,9008866666
Delhi,64233403,,2021-03-15 13:22:35,580b65ed2d9ad33d532595b50211a958,VODAFONE,9008866666
Maharashtra,64240597,,2021-03-15 13:22:40,7b297e93b2499ce7c51f0256e5ad6680,AIRTEL,9008866666
Delhi,64233551,,2021-03-15 13:23:02,ca9a3e7316b1a69c4e231a87df93c170,Aircel,9008866666
Haryana,64239425,,2021-03-15 13:23:18,2c1732bb5571673f2100ddfd1b9a181f,RELIANCE,9008866666
Delhi,64237566,,2021-03-15 13:24:39,c4be715eaeaa2d87e457ee5ddac5dc6c,VODAFONE,9008866666
Delhi,64229241,,2021-03-15 13:24:46,6836e44a879f331a78b6b27358fbba79,Reliance,9008866666
Mumbai,64228931,,2021-03-15 13:25:04,cab0845fe3c0ce9271cfc2f47d428009,AIRTEL,9008866666
Delhi,,,2021-03-15 13:25:21,6836e44a879f331a78b6b27358fbba79,Reliance,9008866666
Mumbai,64238320,,2021-03-15 13:25:40,5b514687a5411a4d2151c5823919b81c,RELIANCE,9008866666
Delhi,64239876,,2021-03-15 13:26:07,2c52e1f7c906dc51eb8d51f4b9fdb2df,Aircel,9008866666
Delhi,,,2021-03-15 13:26:17,3fa1765abbe46b6ba90be16f972c5308,RTL,9008866666
Delhi,64235570,,2021-03-15 13:26:21,1a72c17084f4df1bc038bec9ea3ca0f5,VODAFONE,9008866666
Delhi,64237857,,2021-03-15 13:27:09,ab5f5302621897c82c7862abf85f0e8b,Reliance,9008866666
AP,64239446,,2021-03-15 13:28:11,f8279ee28d84ef0d6f4f223c071bcbb5,AIRTEL,9008866666
Delhi,64238720,,2021-03-15 13:29:06,8816c1271e15e29565479c221010df55,Reliance,9008866666
Delhi,64238599,,2021-03-15 13:29:55,8394ecbde8bd541fcc1f7ce763c7f866,VODAFONE,9008866666
Maharashtra,,,2021-03-15 13:30:01,8d1da5fdaf285826a203f45b0c362c9d,AIRTEL,9008866666
UP-E,57583782,,2021-03-15 13:30:08,494718d43b275bf620eae3828ff5451a,AIRTEL,7303658515
UP-E,64241850,,2021-03-15 13:30:20,494718d43b275bf620eae3828ff5451a,AIRTEL,9008866666
Maharashtra,,,2021-03-15 13:30:51,c3f2dd2bf701aae8d1148dbf72294d9c,Airtel,9008866666
Delhi,64240181,,2021-03-15 13:31:18,45514387339d84f3e1e96e5c56a285fc,VODAFONE,9008866666
Karnataka,64238572,,2021-03-15 13:31:20,9b868cacf1b55ae6fa5e381c0d59c35d,TATA,9008866666
Delhi,,,2021-03-15 13:31:36,20b7d2032364cd2b66a9fabffb25e918,VODAFONE,9008866666
Orissa,57619031,,2021-03-15 13:32:21,585c36dc0f7877d3bb01bbaaaa1b5bad,AIRTEL,7303658515
Orissa,57620169,,2021-03-15 13:33:22,3052a6beb51255719d9b6f88027d5dd6,IDEA,7303658515
Delhi,64241628,,2021-03-15 13:33:23,0165788428606e11ac045a5670511ecc,VODAFONE,9008866666
Delhi,64224371,,2021-03-15 13:34:20,3e0aa257713f021825bb6f061e573170,AIRTEL,9008866666
Delhi,57653397,,2021-03-15 13:34:34,2023610a99c3c7595321c0eeba370169,VODAFONE,7303658515
Kolkata,64242723,,2021-03-15 13:34:55,08fed1af84a692a7173333e68a8824d1,Reliance,9008866666
Gujarat,,,2021-03-15 13:36:08,89a45651930960dc924fa854b08a9d7c,Airtel,9008866666
Delhi,64229681,,2021-03-15 13:36:18,e6fd8031329fe66f0e046387b2c0ab96,IDEA,9008866666
Mumbai,,,2021-03-15 13:36:32,49670aaccaa24abc284dce33a5c79bec,Airtel,7303658515
Mumbai,57656086,,2021-03-15 13:36:42,377ef6f3a7f6b2a0adaff3af5bdbc3c9,VODAFONE,7303658515
Mumbai,57604916,,2021-03-15 13:37:02,9daa23769450e81b1bd3861ca702d9e6,VODAFONE,7303658515
Karnataka,64221974,,2021-03-15 13:37:18,eea16cfb4da61c17e7d67aa27ce95f09,RELIANCE,9008866666
Mumbai,57658003,,2021-03-15 13:37:41,76318e560c436ece9bcf69ac5b16984a,Airtel,7303658515
Karnataka,,,2021-03-15 13:38:00,eea16cfb4da61c17e7d67aa27ce95f09,RELIANCE,9008866666
Delhi,,,2021-03-15 13:38:10,8fe0694fed928c12e1d8b96302845e64,Reliance,9008866666
Maharashtra,64242747,,2021-03-15 13:38:21,83eab884c041d0dcf38cf022960e13a6,UNINOR,9008866666
Maharashtra,,,2021-03-15 13:38:34,83eab884c041d0dcf38cf022960e13a6,UNINOR,9008866666
Mumbai,57598898,,2021-03-15 13:38:41,8c8fb9d492808f0167bbbcc5bfb48c5b,AIRTEL,7303658515
Delhi,,,2021-03-15 13:38:53,696f995f981150cfa46409371b41a801,AIRCEL,9008866666
Mumbai,64223747,,2021-03-15 13:39:06,3c56b1f6daf5b852d2af54aa73090d5e,VODAFONE,9008866666
UP-W,,,2021-03-15 13:40:05,72c789bcf0d370e4391c496a83d0d219,MTS,7303658515
Karnataka,,,2021-03-15 13:40:13,eea16cfb4da61c17e7d67aa27ce95f09,RELIANCE,9008866666
Karnataka,,,2021-03-15 13:40:33,eea16cfb4da61c17e7d67aa27ce95f09,RELIANCE,9008866666
Maharashtra,64243232,,2021-03-15 13:40:45,d1132de06b9d183a0152a8d5e968c117,Idea,9008866666
UP-E,,,2021-03-15 13:41:51,de206dbd971744a9fe3784c2c456f740,Airtel,9008866666
Mumbai,,,2021-03-15 13:41:53,3333b1d10b050a725726444bd4fcf61f,TATA,7303658515
Mumbai,64239716,,2021-03-15 13:42:13,ca0a0e573fafb17a6f0bf93caa8c0e4a,Airtel,9008866666
Delhi,64230789,,2021-03-15 13:42:35,7a431069291c5564959551ac65db50c2,VODAFONE,9008866666
Delhi,,,2021-03-15 13:42:43,7a431069291c5564959551ac65db50c2,VODAFONE,9008866666
916291,64242278,,2021-03-15 13:42:54,6dd879a822aa17380bca2ecdb7b0886b,TATA,9008866666
KOLKATA,64240438,,2021-03-15 13:42:58,82abb813162c55c45337d58642150fe8,VODAFONE,9008866666
Delhi,,,2021-03-15 13:43:02,7a431069291c5564959551ac65db50c2,VODAFONE,9008866666
Mumbai,,,2021-03-15 13:43:23,71556619bd4e95cae6c29efccfda73ce,AIRTEL,7303658515
UP-W,,,2021-03-15 13:43:43,08d02a13df6855cffbbd99638fdc2e39,Videocon,7303658515
KOLKATA,64242364,,2021-03-15 13:43:53,894cad204fbc9771053a2375e7f6cc12,Idea,9008866666
Delhi,64240987,,2021-03-15 13:44:02,2fc5d12c0440d260b675f58cdd9395f1,Reliance,9008866666
Haryana,57629123,,2021-03-15 13:44:05,25b457ea47f49fa8c5c7ccef3e1e63ce,VODAFONE,7303658515
Haryana,64241095,,2021-03-15 13:44:09,2e08c02390ff5e5f6cca8f0838fd2598,RELIANCE,9008866666
Mumbai,57659042,,2021-03-15 13:44:17,33ba0ac0789e2bccedf6cbe7a1434f5a,IDEA,7303658515
Mumbai,,,2021-03-15 13:44:33,81621cac0bd767d869a205b5dcffb0d1,RTL,7303658515
DELHI,64244000,,2021-03-15 13:45:13,8aec5dfad68577ae6460c242456ee109,AIRTEL,9008866666
Haryana,64239777,,2021-03-15 13:45:15,25b457ea47f49fa8c5c7ccef3e1e63ce,VODAFONE,9008866666
DELHI,64235363,,2021-03-15 13:45:32,d906649e6ff1e84daed5d0663879c058,RELIANCE,9008866666
Maharashtra,64237630,,2021-03-15 13:45:51,4ea207844ed387b123fcfd9332d4894f,AIRTEL,9008866666
Mumbai,57568363,,2021-03-15 13:46:01,4b9a6493035116e91aaee01219c3d4e2,RELIANCE,7303658515
Delhi,57660717,,2021-03-15 13:46:07,0f70e207be66712d45edd79be4264f11,AIRTEL,7303658515
Mumbai,57657502,,2021-03-15 13:47:00,3d8974810359967104431484064be18d,Idea,7303658515
DELHI,64240888,,2021-03-15 13:47:42,4af2403c9bf7efcaab8fd832847f7407,RELIANCE,9008866666
